cust_id,equip_id,equip_notes,created_at,updated_at
8,10,"Serviced gas Furnace 10-8-01
Installed gas valve to eliminate on/off continuously of gas. 10-8-01",05/26/2017,05/26/2017
8,2816,Serviced Air Cleaner 10-8-01,05/26/2017,05/26/2017
9,11,"FIRST FLOOR EQUIPMENT
MFG # P1228303F
PIC # 1204010501",05/26/2017,05/26/2017
9,12,"MFG # P1203910C
PIC #1205010000",05/26/2017,05/26/2017
9,13,"MFG # P1218522C
PIC # 1203010502",05/26/2017,05/26/2017
9,17,"This is a vertical coil.
MFG # P1210102C
PIC # 1205001000",05/26/2017,05/26/2017
9,18,"MFG # P1218522C
PIC # 1203010502",05/26/2017,05/26/2017
9,19,12/19/2015,05/26/2017,05/26/2017
9,20,,05/26/2017,05/26/2017
11,24,"Replaced heat exchanger 11/8/01.
Serviced Furnace 10-31-02",05/26/2017,05/26/2017
11,3017,"Serviced Air Cleaner 11-8-01
Serviced Elec Air Cleaner 10-31-02",05/26/2017,05/26/2017
13,29,"MFG. # P1211004F
PIC # 1204010305",05/26/2017,05/26/2017
13,31,"MFG # P1203910C
PIC # 120501000",05/26/2017,05/26/2017
13,33,"MFG # P1223310C
PIC # 1203010303",05/26/2017,05/26/2017
13,35,16x25x4 Media,05/26/2017,05/26/2017
27,66,Serviced Gas Furnace 10-9-02,05/26/2017,05/26/2017
31,73,Replaced Transformer and board 8-18-95,05/26/2017,05/26/2017
32,76,Serviced Oil Furnace 5-16-02,05/26/2017,05/26/2017
39,104,16x25x4,05/26/2017,05/26/2017
41,113,Serviced 4-5-02,05/26/2017,05/26/2017
41,114,Serviced AC 4-5-02,05/26/2017,05/26/2017
41,3354,Replaced Water Panel and Serviced 4-5-02,05/26/2017,05/26/2017
45,127,Serviced Gas Furnace 11-1-01,05/26/2017,05/26/2017
45,2988,Serviced Humidifier 11-1-01,05/26/2017,05/26/2017
46,129,Serviced AC Unit 10-9-01,05/26/2017,05/26/2017
46,2860,"Serviced Oil Furnace 10-9-01
Replaced Power Switch on side of Furnace 3-19-02
Replaced Oil Burner and Service 3-28-02",05/26/2017,05/26/2017
47,131,"Smell Coming From Furnace, Part Was Ordered. 4-9-02",05/26/2017,05/26/2017
48,134,Serviced Gas Furnace 11-19-01,05/26/2017,05/26/2017
51,142,"Serviced Furnace 10-1-01
Serviced Furnace 10-1-02",05/26/2017,05/26/2017
51,2745,"Cleaned Elec Air Cleaner 10-01-01
Serviced Air Cleaner 10-1-02",05/26/2017,05/26/2017
53,149,A 40 gallon hot water heater,05/26/2017,05/26/2017
53,3109,"Serviced Gas Furnace 12-3-01
Serviced Furnace 11-4-02",05/26/2017,05/26/2017
57,160,"MFG= P1234705F
PIC= 1204010501",05/26/2017,05/26/2017
57,3272,Installed 760 to exsistng duct system with a humidistat 2-14-02,05/26/2017,05/26/2017
65,182,40 gallon Rheem hot water tank (gas),05/26/2017,05/26/2017
67,186,"Serviced Furnace 11-26-01
Serviced Furnace 11-25-02",05/26/2017,05/26/2017
67,187,Fixed Door on Air Cleaner 11-25-02,05/26/2017,05/26/2017
74,198,Serviced Gas Furnace 10-16-01,05/26/2017,05/26/2017
75,199,Serviced Gas Furnace 11-15-01,05/26/2017,05/26/2017
76,200,Serviced AC 9-20-02,05/26/2017,05/26/2017
77,203,Serviced Gas Furnace 10-19-01,05/26/2017,05/26/2017
81,212,Service 4-16-02,05/26/2017,05/26/2017
87,221,Serviced Gas Furnace 1-28-02,05/26/2017,05/26/2017
88,223,Serviced and replaced blower motor & Wheel,05/26/2017,05/26/2017
89,226,Serviced Oil Furnace 11-21-02,05/26/2017,05/26/2017
94,229,Replaced Ignitor and Combustion Fan 2-1-02,05/26/2017,05/26/2017
98,240,Unico System,05/26/2017,05/26/2017
98,241,Unico System,05/26/2017,05/26/2017
98,2858,"Serviced & Cleaned gas Hot Water Furnace, Drain Expansion Tank, Checked Heat Exchanger & Draft, Checked Pump Operation 10-11-01",05/26/2017,05/26/2017
98,3808,Replaced Filter 9-27-02,05/26/2017,05/26/2017
99,3305,Installed AprilAire and Ductwork 3-8-02,05/26/2017,05/26/2017
101,3338,"Control Board, Ignitor, Pressure Switch 3-14-02",05/26/2017,05/26/2017
107,265,Replaced Aprilaire filter $40 9-12-02,05/26/2017,05/26/2017
109,267,"Serviced Gas Furnace 12-4-01
Serviced furnace 9-4-02",05/26/2017,05/26/2017
109,270,Replaced Air Filter 9-4-02,05/26/2017,05/26/2017
110,3244,Serviced humidifier 1-25-02,05/26/2017,05/26/2017
113,282,"Serviced AC. Checked Coil, Oil Motor, Check Charge..Added 3lb 20z. 8-21-01",05/26/2017,05/26/2017
113,2642,"Serviced Humidifier. Oil Motor, Changed #10 Pad 8-21-01",05/26/2017,05/26/2017
121,310,"Serviced  Gas Furnace 10-16-01
Serviced Trane Furnace 10-24-02",05/26/2017,05/26/2017
121,2881,"Serviced Air Cleaner 10-16-01
Serviced Air Cleaner 10-24-02",05/26/2017,05/26/2017
123,316,Serviced AC unit 7-12-02,05/26/2017,05/26/2017
130,340,Serviced Furnace 10-31-01,05/26/2017,05/26/2017
153,397,Repaired Refrigerant leak and added 4.5 LB of R22 8-28-02,05/26/2017,05/26/2017
154,400,Serviced Gas Furnace 10-25-02,05/26/2017,05/26/2017
154,3933,Adjusted Water Panel on Humidifier 10-25-02,05/26/2017,05/26/2017
155,404,Cleaned Elec Air Cleaner 4-22-02,05/26/2017,05/26/2017
160,416,Serviced Gas Furnace 10-2-02,05/26/2017,05/26/2017
161,2807,Part Ordered and Fixed 4-22-02,05/26/2017,05/26/2017
162,2882,Special Order for the fan switch ALSO UPS Charge 10-16-01,05/26/2017,05/26/2017
166,431,Serviced Gas Furnace 12-11-01,05/26/2017,05/26/2017
177,449,Serviced AC 7-26-02,05/26/2017,05/26/2017
177,3611,Service Furnace 7-26-02,05/26/2017,05/26/2017
179,4061,Serviced Gas Furnace 11-12-02,05/26/2017,05/26/2017
181,458,Service to gas furnace 9-20-02,05/26/2017,05/26/2017
184,2883,Serviced furnace 10-18-01,05/26/2017,05/26/2017
187,470,Serviced AC Unit 9-14-01,05/26/2017,05/26/2017
187,2707,Serviced Furnace 9-14-01,05/26/2017,05/26/2017
190,474,"Replaced Igintor, Replaced Blower Wheel 10-26-01",05/26/2017,05/26/2017
190,3474,Serviced Furnace 5-9-02,05/26/2017,05/26/2017
190,3475,Serviced AC Unit 5-9-02,05/26/2017,05/26/2017
197,488,"BOM # 2OO831O2A
MFG # 382511 9617",05/26/2017,05/26/2017
199,497,Replaced contactor 7-10-02,05/26/2017,05/26/2017
202,503,Serviced Oil Furance 10-24-01,05/26/2017,05/26/2017
202,2931,Serviced Air Cleaner 10-24-01,05/26/2017,05/26/2017
202,2932,"Checked Humidifier 10-24-01
Installed 760 AprilAire Humidifier 9-26-02",05/26/2017,05/26/2017
203,1130,"Replaced Flame Sensor   12-21-98
Replaced Flame Sensor _ Diagnostic charge to test sensor  11-7-00
No Heat  12-3-01",05/26/2017,05/26/2017
203,3437,Replaced Gas Valve 5-2-02,05/26/2017,05/26/2017
204,506,"Replaced heat exchanger 2/19/02
Service to gas Furnace 9-19-02",05/26/2017,05/26/2017
204,3785,Service to air cleaner 9-19-02,05/26/2017,05/26/2017
208,517,Serviced Furnace 11-6-02,05/26/2017,05/26/2017
208,2996,Replaced water panel 11-2-01,05/26/2017,05/26/2017
209,519,"Serviced Furnace 10-25-01
No Heat , Replaced Sensor 11-16-01
Replaced Pressure Switch 1-5-02",05/26/2017,05/26/2017
216,533,Serviced Gas Furnace 10-11-02,05/26/2017,05/26/2017
221,3260,"Installed 3"" Flue Liner 2-14-02",05/26/2017,05/26/2017
221,3490,Serviced AC and added 1lb of R-22 6-6-02,05/26/2017,05/26/2017
225,562,16x25 Media,05/26/2017,05/26/2017
225,564,10000 to 20000 btu heater on porch.,05/26/2017,05/26/2017
230,580,Trane Programmable Stat.,05/26/2017,05/26/2017
244,618,Compressor and coils have 10 year.,05/26/2017,05/26/2017
252,634,Serviced AC Unit 9-11-01,05/26/2017,05/26/2017
252,2706,Serviced Rudd Oil Furnance 9-11-01,05/26/2017,05/26/2017
253,636,"Service 10-10-01
Service 11-01
Service 12-01 Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 5-10-02
Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,637,"Service for September 2001
Service 10-10-01
Service 11-01
Service 12-01  Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 5-10-02
Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,638,"3- 20x20x2
3-16x20x2
Filters
Service 10-10-01
Service 11-01  Service 12-01  Service 01/01/02  Service 02/10/02 Service 03/10/02 Service 04/10/02 Service 5-10-02 Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,639,"Replaced Blower Motor 7-19-01 (054141#)
Service 10-10-01
Service 11-01
Service 12-01  Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 5-10-02
Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,641,"Service for Sept 2001
Service 10-10-01
Service 11-01
Service 12-01 Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 05/10/02
Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,642,"Service for Sept 2001
Service 10-10-01
Service 11-01
Service 12-01 Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 05/10/02
Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,643,"2-20x25 filter
Service for Sept 2001
Service 10-10-01
Service 11-01
Service 12-01 Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 05/10/02
Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,644,"2-16x25
2-20x25
Service for Sept 2001 Service 10-10-01 Service 11-01
Service 12-01 Service 01/01/02  Service 02/10/02
Service 03/10/02 Service 04/10/02 Service 05/10/02 Service 6/10/02 Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
253,646,"Computer Room
Invoice for Computer Room Unit 
1 Contactor Relay 8-15-01
Service for Sept 2001
Service 10-10-01
Service 11-01  Service 12-01 Service 01/01/02  Service 02/10/02 Service 03/10/02 Service 04/10/02 Service 05/10/02 Service 6/10/02  Service 7/10/02 Service for 8-02, Service for 9-02, Service for 10-02",05/26/2017,05/26/2017
254,645,Rt 30 Drive Thru,05/26/2017,05/26/2017
254,3461,Replaced In Roftop unit - 5-15-02,05/26/2017,05/26/2017
260,660,40 Gal.,05/26/2017,05/26/2017
262,664,Serviced Furnace 11-21-02,05/26/2017,05/26/2017
262,4046,Serviced Humidifier 11-21-02,05/26/2017,05/26/2017
277,3960,"Replaced Hot Surface Ignitor, cleaned Flame sensor 11-6-02",05/26/2017,05/26/2017
279,705,This is not original unit.  Unit failed on 9/8/05.,05/26/2017,05/26/2017
295,738,Serviced Furnance 9-20-01,05/26/2017,05/26/2017
295,2742,"Serviced Humidifier 9-20-01
Installed Used Model 110 Humidifier 12-6-01",05/26/2017,05/26/2017
301,753,Serviced Heat Pump 4-19-02,05/26/2017,05/26/2017
313,786,"Serviced Furnace 11-20-01
Serviced Furnace 10-22-02",05/26/2017,05/26/2017
313,788,"Serviced Air Cleaner 11-20-01
Serviced Air Cleaner.. Does Not Work, Need to look up Parts 10-22-02",05/26/2017,05/26/2017
321,3163,Installed a power exhaust system for gas furnace 1-3-02,05/26/2017,05/26/2017
326,809,"HP XL1400
Recovered Refrigerant  8-8-01
Replaced Compressor  8-8-01",05/26/2017,05/26/2017
326,810,AH Var.,05/26/2017,05/26/2017
327,813,Only wants to have it serviced every two years.,05/26/2017,05/26/2017
337,3018,Serviced 11-6-01,05/26/2017,05/26/2017
340,3233,Installed Ductwork Also 1-28-02,05/26/2017,05/26/2017
341,844,Replaced Flame Sensor  - 1-15-00,05/26/2017,05/26/2017
342,848,Serviced Oil Furnace 9-18-01,05/26/2017,05/26/2017
344,852,Added 2.5 lbs of refrigerant to system and cleaned coils and Service 6-11-02,05/26/2017,05/26/2017
345,855,"BOM# 20354503A
MFG# 709163",05/26/2017,05/26/2017
346,858,Replaced Igintor & Flame Sensor 12-14-00,05/26/2017,05/26/2017
347,860,Service to furnace 9-24-02,05/26/2017,05/26/2017
347,862,"Replaced Elec Air Cleaner Cell  3-30-98
Replaced Ionizing Wire and Preflter Screen 1-27-99",05/26/2017,05/26/2017
347,3789,Replaced Air Filter 9-24-02,05/26/2017,05/26/2017
348,863,Serviced Gas Furnace 11-11-02,05/26/2017,05/26/2017
351,870,"Replaced Flame Sensor  11-15-99
Replaced Ignitor & Transformer  4-17-01",05/26/2017,05/26/2017
352,7291,Look at the notes section for warranty.,05/26/2017,05/26/2017
356,883,Serviced Furnace 10-8-02,05/26/2017,05/26/2017
356,3826,Replaced Filter 10-8-02,05/26/2017,05/26/2017
359,890,Serviced Furnace 1-24-02,05/26/2017,05/26/2017
362,896,"Serviced Furnace 9-21-01
Serviced Furnace 10-4-02",05/26/2017,05/26/2017
374,923,Serviced Oil Furnace  11-1-01,05/26/2017,05/26/2017
376,930,Rheem 40 Gal--^Yr.,05/26/2017,05/26/2017
382,2813,Serviced Gas Furnace 10-8-01,05/26/2017,05/26/2017
384,941,Serviced Furnace 9-28-01,05/26/2017,05/26/2017
384,2746,Serviced Humidifier 9-28-01,05/26/2017,05/26/2017
386,3790,Clean Elec Air Cleaner 9-19-02,05/26/2017,05/26/2017
386,3791,Check AprilAire and Water panel 9-19-02,05/26/2017,05/26/2017
390,956,"Replaced Ignitor3-8-01
Diagnostic Charge - Due to Combustion fan motor not starting - Cleaned Terminal     Done on 3-8-01",05/26/2017,05/26/2017
391,957,Serviced Furnace 12-6-01,05/26/2017,05/26/2017
392,960,Service Furnace 11-5-02,05/26/2017,05/26/2017
397,974,Service Heat Pump 10-23-02,05/26/2017,05/26/2017
403,983,"2-17-02  Service was done due to no heat
Part was ordered.",05/26/2017,05/26/2017
403,3279,Replaced Light 2-17-02,05/26/2017,05/26/2017
408,997,Service AC 7-19-02,05/26/2017,05/26/2017
414,1007,Serviced Furnace 5-10-02,05/26/2017,05/26/2017
414,1008,Service AC Unit 5-10-02,05/26/2017,05/26/2017
420,10321,10 year parts.,05/26/2017,05/26/2017
427,1035,"Serviced Furnace 10-10-01
Serviced Gas Furnace 10-22-02",05/26/2017,05/26/2017
427,2885,Cleaned Air Cleaner 10-10-01,05/26/2017,05/26/2017
427,4883,"Replaced coil on 6-12-07.  Old model & serial #s are:
Mod # RXC031S3HPC0
Ser # 3124LKD5G",05/26/2017,05/26/2017
431,1042,Serviced Gas Furnace 11-21-02,05/26/2017,05/26/2017
437,1056,Serviced Trane Furnace. 8-3-01,05/26/2017,05/26/2017
437,1057,Installed a current sensing switch for air cleaner 8-3-01,05/26/2017,05/26/2017
437,1058,Serviced Trane Air Cond. Installed a current sensing switch for air cleaner 8-3-01,05/26/2017,05/26/2017
438,1059,"Replaced ignitor  11-29-00
Replaced Drain Trap  1-22-01",05/26/2017,05/26/2017
441,1068,381-357-302,05/26/2017,05/26/2017
442,1069,"Serviced Furnace 9-17-01
Serviced Furnace 9-12-02",05/26/2017,05/26/2017
444,1073,Replaced Ignitor & Flame Sensor on routine service call 1-19-01,05/26/2017,05/26/2017
448,1080,Serviced Furnace 7-10-02,05/26/2017,05/26/2017
448,1081,Service AC unit 7-10-02,05/26/2017,05/26/2017
454,3961,Serviced Furnace 10-16-02,05/26/2017,05/26/2017
457,1105,Serviced Gas Furnace 9-30-01,05/26/2017,05/26/2017
458,1109,Parts No. 381-354-837,05/26/2017,05/26/2017
463,1121,"Replaced hot surface ignitor due to high resistance reading 8-6-99
Replaced pressure switches 10-1-01
Serviced Gas Furnace 11-7-02",05/26/2017,05/26/2017
469,3065,Serviced Humidifier 11-20-01,05/26/2017,05/26/2017
474,1164,Servi ced Humidifier 11-29-01,05/26/2017,05/26/2017
483,1180,Replaced ignitor & falme sensor  1-16-02  No Heat,05/26/2017,05/26/2017
490,1201,Replaced Control  12-31-01,05/26/2017,05/26/2017
497,7071,Waterpanel #35,05/26/2017,05/26/2017
501,1224,No Heat 12-18-99  Tightened the srews on the thermostat..Not making good connection.,05/26/2017,05/26/2017
506,1236,"Service Furnace 7-12-02
Service Furnace 8/7/03",05/26/2017,05/26/2017
508,1243,"Reparied faulty wiring inside  outdoor unit(thermmostat wire)
Diagnostic Charge  4-7-99
Replaced outdoor fan motor 11-26-00
last service call 4-16-02",05/26/2017,05/26/2017
509,1245,Replaced Integrated Control Board  10-5-00,05/26/2017,05/26/2017
527,1280,50 Gal.,05/26/2017,05/26/2017
533,1291,"replaced two pressure switches  11-3-99
replaced pressure switch 12-13-00",05/26/2017,05/26/2017
540,2743,Serviced Humidifier 9-25-01,05/26/2017,05/26/2017
540,11800,"HML80C, .5, 1/2HP, DD",05/26/2017,05/26/2017
541,1309,Replaced Switch  4-11-01,05/26/2017,05/26/2017
552,1338,Service and Replaced Hot Surface Ignitor 3-18-02,05/26/2017,05/26/2017
555,1344,Charged AC with 2 1/2 pounds of R-22. 6-6-02,05/26/2017,05/26/2017
556,1347,Serviced Gas Furnace 11-25-02,05/26/2017,05/26/2017
561,1360,Changed Hot Surface Ignitor  1-7-99  (N o Heat),05/26/2017,05/26/2017
563,1372,Serviced Gas Furnace 11-26-01,05/26/2017,05/26/2017
564,1373,"Replaced Igintor 7-12-00  (No Heat)
No Heat  1-16-02",05/26/2017,05/26/2017
564,1375,"Added 2 1/2 lbs of Refrigerant and Service 6-11-02
Repaired Leak in outdoor motor and evacuated system, added 5.5 lbs refrigerant to system and service 6-25-02",05/26/2017,05/26/2017
566,1379,Serviced Air Cleaner 11-16-01,05/26/2017,05/26/2017
566,4018,"AFG  Serial # 021216-45424
RH1302 (Rheem number)
NL42XN nozzle tube assembly",05/26/2017,05/26/2017
569,1385,"No AC, the thermostat was set wrong 6-6-02",05/26/2017,05/26/2017
578,1406,"No AC, ac breaker was off, switched breaker back on and it blow up the surge protector. 6-1-02",05/26/2017,05/26/2017
579,1408,Replaced Control Board  12-28-01,05/26/2017,05/26/2017
583,1423,Invoice with just the date  12-25-01,05/26/2017,05/26/2017
583,1424,Replaced Crankcase Heater 6-12-00,05/26/2017,05/26/2017
584,1425,Cleaned & Serviced Gas Furnace 10-20-01,05/26/2017,05/26/2017
585,1426,Replaced heat exchanger 9-22-00,05/26/2017,05/26/2017
591,1440,"Replaced Gas Valve 2-20-98
Replaced Ignitor 3-21-98",05/26/2017,05/26/2017
594,1446,Serviced Heat Pump 11-27-01,05/26/2017,05/26/2017
594,1448,Inserted 1/2 Copper dip tube due to original breaking off 12-19-01,05/26/2017,05/26/2017
595,1454,Service AC and fixed wires 6-27-02,05/26/2017,05/26/2017
600,3440,Replaced Voltage Fuse 5-6-02,05/26/2017,05/26/2017
607,1477,6 years,05/26/2017,05/26/2017
609,1479,"Replaced Flame Sensor  12-11-01
Replaced Flame Sensor  1-6-01",05/26/2017,05/26/2017
611,1481,"Serviced Furnace 10-2-01
Serviced Furnace 9-16-02",05/26/2017,05/26/2017
611,3747,Serviced Humidifier 9-16-02,05/26/2017,05/26/2017
613,1487,"Replaced Var. Combustion Fan  10-8-00
Diagnostic Charge  10-8-00
Replaced Variable Speed Exhaust Fan  11-27-00",05/26/2017,05/26/2017
616,1497,"MFG  P1227606F
PIC   1204010402",05/26/2017,05/26/2017
628,1533,Serviced AC 7-22-02,05/26/2017,05/26/2017
628,1534,"Serviced Furnace , replaced Air Filter 7-22-02",05/26/2017,05/26/2017
631,3824,Replaced Air Filter 9-27-02,05/26/2017,05/26/2017
632,1544,"KW  20.00KW
Voltage:40V/1P

Original install: Model #WUN2002R  Serial: #76403-008-003",05/26/2017,05/26/2017
635,1549,Installed a variflow fan control to furnace 7-31-02,05/26/2017,05/26/2017
644,1574,Rental on 6th and Spruce,05/26/2017,05/26/2017
653,1594,"Serviced Furnace 9-26-01
Serviced Furnace 9-20-02",05/26/2017,05/26/2017
656,1599,Serviced and Replaced Ignitor and Flame Sensor 3-29-02,05/26/2017,05/26/2017
662,1615,"Replaced Hot Surface Ignitor  11-16-99
Serviced Furnace 10-29-01
Serviced Furnace 11-5-02",05/26/2017,05/26/2017
662,3962,Cleaned Air Filters 11-5-02,05/26/2017,05/26/2017
665,1622,"Serviced Gas Furnace 10-23-01Serviced Furnace 10-17-02
Replaced Flame sensor on furnace 10-18-02",05/26/2017,05/26/2017
671,11098,"Product # C7226512-12400

Warranty:
12 year heat exchanger
5 year parts",05/26/2017,05/26/2017
674,1651,Replaced Flame Sensor 2-13-01,05/26/2017,05/26/2017
677,1664,MFG# P1228305F,05/26/2017,05/26/2017
682,1675,"MFG# 366644  9533
BOM#20083102A
Replaced Oil Burner, Serviced Oil Furnace 9-21-01",05/26/2017,05/26/2017
683,1680,UPSTAIRS,05/26/2017,05/26/2017
683,1681,UPSTAIRS,05/26/2017,05/26/2017
683,1683,Downstairs,05/26/2017,05/26/2017
683,1684,Downstairs,05/26/2017,05/26/2017
683,1685,Downstairs,05/26/2017,05/26/2017
683,1686,Upstairs,05/26/2017,05/26/2017
683,1687,Upstairs,05/26/2017,05/26/2017
683,1688,Upstairs,05/26/2017,05/26/2017
683,1689,Upstairs,05/26/2017,05/26/2017
684,1693,Serviced Furnace 11-16-01,05/26/2017,05/26/2017
685,1694,Service Furnace 10-21-02,05/26/2017,05/26/2017
687,1699,Serviced Gas Furnace 10-14-02,05/26/2017,05/26/2017
687,1701,Rental was on card beside this equip. 11-19-1993,05/26/2017,05/26/2017
688,1702,"72619   14572
Parts No 318-357-309",05/26/2017,05/26/2017
690,1708,Serviced Gas Furnace 2-3-02,05/26/2017,05/26/2017
693,1714,Serviced Gas Furnace 4-4-02,05/26/2017,05/26/2017
693,1715,Serviced AC 4-4-02,05/26/2017,05/26/2017
696,1723,"Replace Blower Motro, Cap and serviced furnace  8-3-01
Serviced Furnace 11-12-02",05/26/2017,05/26/2017
696,1724,Serviced AC 8-3-01,05/26/2017,05/26/2017
701,1739,Replaced Integrated Board & Ignitor   6-17-02,05/26/2017,05/26/2017
704,1744,Service Furnace 3-11-02,05/26/2017,05/26/2017
704,1746,"NO AC , Contractor was not working 6-10-02",05/26/2017,05/26/2017
705,1748,"Replaced Ignitor   1-5-00
Replaced Sensor   1-5-00",05/26/2017,05/26/2017
706,1753,Service AC 7-10-02,05/26/2017,05/26/2017
712,1773,"Product Number:
MFG P1234705F",05/26/2017,05/26/2017
717,1783,"Added 2.5LBS Refrigerant 9-5-02
Serviced 9-5-02",05/26/2017,05/26/2017
717,1784,Rental,05/26/2017,05/26/2017
717,1786,Toni Fiume,05/26/2017,05/26/2017
717,5821,For Finch Turf office area.,05/26/2017,05/26/2017
717,6967,"For Electri-Kote
Part # 386-700-831",05/26/2017,05/26/2017
720,1792,"Diagnostic with Solve nosie complaint, noise due to main blower Fluctations. Repaired by adjusting bracket assembly.  11-16-98",05/26/2017,05/26/2017
721,1795,"No Heat   2-28-02
Blow Motor, Blower Wheel, Capacitor 5MFD was ordered",05/26/2017,05/26/2017
724,1805,We Did'nt install Shuster's House (this is on the card0,05/26/2017,05/26/2017
734,3964,Serviced Oil Furnace 11-4-02,05/26/2017,05/26/2017
736,1837,Upstairs,05/26/2017,05/26/2017
736,1838,Downstairs,05/26/2017,05/26/2017
741,1859,"42"" High
22"" Wide
51 1/2"" Deep",05/26/2017,05/26/2017
742,1860,Reconnect used  Tin G.E. air conditioner office complex for lighting rep.,05/26/2017,05/26/2017
742,1861,Kit Ordered,05/26/2017,05/26/2017
745,10595,"This coil is currently installed at his home.  Problem is that Robertson gave us the wrong coil for this unit which is not a matched coil.  We received the right coil after trying to register this system.  Tom Fogel, Robertson, ordered the right coil and it was delivered and it is in the garage for future use.",05/26/2017,05/26/2017
745,10633,This coil is the matched coil that should be in the unit.  The idea is to keep this coil until needed should something break down.  This coil is marked and in the garage.,05/26/2017,05/26/2017
750,8834,Product # P9885217C,05/26/2017,05/26/2017
755,2744,"No Heat, Removed Bird from motor 9-26-01.",05/26/2017,05/26/2017
760,1906,Serviced Heat Pump 5-8-02,05/26/2017,05/26/2017
772,2747,"Serviced Furnace 10-02-01
Serviced Furnace 9-25-02",05/26/2017,05/26/2017
777,1943,Replaced  Ignitor & Flame Sensor  2-13-01,05/26/2017,05/26/2017
779,1949,1st Floor,05/26/2017,05/26/2017
779,1950,1st Floor,05/26/2017,05/26/2017
779,1951,1st Floor,05/26/2017,05/26/2017
779,1952,2nd Floor,05/26/2017,05/26/2017
779,1953,2nd Floor,05/26/2017,05/26/2017
779,10310,Top Floor Unit.,05/26/2017,05/26/2017
780,1954,"Serviced Furnace 9-18-01
Serviced Furnace 9-13-02",05/26/2017,05/26/2017
780,3740,Changed Water Panel 9-13-02,05/26/2017,05/26/2017
786,1968,serviced 7-1-02,05/26/2017,05/26/2017
787,1969,"Replaced Ignitor  1-20-98
Replaced Combustion Fan  9-22-99",05/26/2017,05/26/2017
794,1987,Replaced two terminals for AC Unit 8-5-02,05/26/2017,05/26/2017
794,1988,Replaced Dower supply board & transformer  12-29-97,05/26/2017,05/26/2017
805,2032,Serviced gas furnace 11-29-01,05/26/2017,05/26/2017
808,2041,Serviced Heat Pump 2-15-02,05/26/2017,05/26/2017
811,2048,Warranty Work on AC unit 9-13-02,05/26/2017,05/26/2017
811,3741,Serviced Oil Furnace 9-13-02,05/26/2017,05/26/2017
814,2055,"Replaced Variable Speed Control Board  2-15-00
Dianostic Charge",05/26/2017,05/26/2017
814,3134,The invoice at the bottom says spec house,05/26/2017,05/26/2017
814,3135,The invoice at the bottom says spec house,05/26/2017,05/26/2017
814,3136,The invoice at the bottom says spec house,05/26/2017,05/26/2017
816,2061,Serviced Furnace 2-15-02,05/26/2017,05/26/2017
